restaurant_id,inspection_date,result,inspector_id,cuisine_type,seating_capacity,ownership_type,county,days_since_last_inspection,prior_critical_count,renovation_disclosed,complaint_text,neighborhood_median_income
R0290,2024-04-25,pass,I021,Bakery,15,independent,Cook,321,3,Yes,manager certificate expired (renewing),80512
R0291,2024-03-23,pass,I010,Cafe,150,chain,Sangamon,187,4,,minor signage issue noted on previous visit,55408
R0292,2024-11-06,pass,I056,Asian,24,independent,DuPage,127,0,,no complaints filed in past 90 days,113997
R0293,2024-10-03,minor,I034,Mediterranean,55,chain,Sangamon,442,0,,routine check; nothing unusual reported,63811
R0294,2024-12-04,pass,I081,Bakery,61,independent,DuPage,473,0,Yes,manager certificate expired (renewing),64168
R0295,2024-07-22,pass,I061,Bakery,81,chain,Kane,278,0,,,64579
R0296,2024-05-14,pass,I029,Mediterranean,69,independent,Kane,368,0,,,29356
R0297,2024-10-28,pass,I030,Cafe,92,chain,Peoria,431,1,,no complaints filed in past 90 days,47525
R0298,2024-07-21,pass,I005,Cafe,48,independent,DuPage,551,2,Yes,,54470
R0299,2024-03-05,minor,I006,Seafood,106,independent,Kane,494,1,,,103295
R0300,2024-07-17,minor,I072,Seafood,18,chain,Will,60,0,,,55941
R0301,2024-08-02,minor,I015,Seafood,86,independent,DuPage,553,0,No,minor signage issue noted on previous visit,92492
R0302,2024-05-15,pass,I050,Bakery,8,chain,Cook,450,0,,,81727
R0303,2024-07-21,pass,I043,Pizza,97,chain,McHenry,427,0,,manager certificate expired (renewing),56160
R0304,2024-12-22,pass,I088,Mexican,86,independent,Kane,272,1,,,96492
R0305,2024-11-05,pass,I083,Mexican,69,chain,Winnebago,479,1,,minor signage issue noted on previous visit,73425
R0306,2024-06-08,pass,I065,Seafood,22,independent,Peoria,396,0,,routine check; nothing unusual reported,58333
R0307,2024-05-07,pass,I005,Bakery,91,independent,Will,418,0,,minor signage issue noted on previous visit,28000
R0308,2024-05-03,pass,I048,Bakery,107,chain,Kane,562,0,,,55871
R0309,2024-05-12,pass,I012,Mediterranean,71,independent,Lake,374,1,,minor signage issue noted on previous visit,59298
R0310,2024-12-15,minor,I002,Bakery,95,independent,Kane,346,0,,,60297
R0311,2024-12-29,pass,I083,Mediterranean,29,chain,Winnebago,445,0,,manager certificate expired (renewing),43879
R0312,2024-02-22,minor,I001,Cafe,8,chain,Peoria,216,0,Yes,,37906
R0313,2024-05-21,pass,I082,BBQ,77,chain,Lake,257,0,,manager certificate expired (renewing),94158
R0314,2024-11-03,pass,I052,BBQ,22,independent,Cook,60,0,,manager certificate expired (renewing),28000
R0315,2024-01-19,pass,I075,Pizza,29,chain,McHenry,602,0,,,86261
R0316,2024-02-19,pass,I061,Asian,8,chain,Peoria,374,1,,routine check; nothing unusual reported,48055
R0317,2024-06-30,pass,I029,Mediterranean,8,chain,Will,545,0,,minor signage issue noted on previous visit,67396
R0318,2024-10-24,minor,I080,Mexican,67,chain,Lake,60,0,,,61867
R0319,2024-03-18,critical,I018,Pizza,8,chain,Kane,808,0,,refrigerator temperature too high; reading 52F,66600
R0320,2024-03-31,minor,I041,American,20,independent,Winnebago,320,0,,manager certificate expired (renewing),98826
R0321,2024-02-15,pass,I017,Seafood,36,chain,Kendall,228,0,,minor signage issue noted on previous visit,55470
R0322,2024-09-28,pass,I025,American,8,independent,Lake,419,0,No,minor signage issue noted on previous visit,106537
R0323,2024-01-24,pass,I039,Mediterranean,19,chain,Kendall,424,2,,,35943
R0324,2024-04-06,minor,I022,Seafood,122,independent,Lake,448,0,Yes,,124871
R0325,2024-12-30,critical,I084,American,24,independent,Sangamon,546,5,,food held at unsafe temperatures,59497
R0326,2024-08-01,pass,I057,Seafood,54,independent,Peoria,360,0,,,96222
R0327,2024-08-03,pass,I085,Mexican,45,independent,Kendall,243,1,Yes,,54131
R0328,2024-11-07,pass,I026,Mediterranean,120,independent,McHenry,321,0,,manager certificate expired (renewing),44374
R0329,2024-09-03,pass,I043,Pizza,112,independent,Sangamon,369,1,Yes,manager certificate expired (renewing),63602
R0330,2024-05-11,pass,I083,Pizza,46,chain,Will,359,1,,minor signage issue noted on previous visit,69024
R0331,2024-07-03,pass,I087,BBQ,44,independent,Cook,405,1,,,71911
R0332,2024-11-14,pass,I035,Mexican,88,chain,McHenry,439,3,,no complaints filed in past 90 days,82313
R0333,2024-09-01,pass,I054,Asian,100,independent,Kane,546,0,,,33627
R0334,2024-11-08,pass,I049,BBQ,64,independent,Kane,157,2,,minor signage issue noted on previous visit,64701
R0335,2024-12-01,pass,I041,American,45,independent,McHenry,105,0,,,44743
R0336,2024-09-03,pass,I045,Seafood,34,independent,Peoria,558,0,,,42983
R0337,2024-08-28,pass,I064,Asian,96,independent,McHenry,459,3,Yes,,41609
R0338,2024-02-10,pass,I059,Bakery,49,chain,DuPage,486,0,,manager certificate expired (renewing),43224
R0339,2024-02-22,pass,I052,Seafood,103,independent,Sangamon,415,3,,no complaints filed in past 90 days,83803
R0340,2024-08-21,pass,I044,BBQ,31,independent,Lake,455,1,,,45608
R0341,2024-07-05,pass,I058,Mexican,102,independent,McHenry,516,0,,no complaints filed in past 90 days,70549
R0342,2024-02-24,pass,I006,Asian,18,chain,Kane,494,0,,manager certificate expired (renewing),29389
R0343,2024-03-02,pass,I051,Pizza,8,chain,DuPage,448,1,Yes,,65339
R0344,2024-09-15,pass,I018,Bakery,22,independent,Peoria,345,0,,no complaints filed in past 90 days,34177
R0345,2024-03-31,pass,I075,Asian,57,chain,Sangamon,271,0,,minor signage issue noted on previous visit,78840
R0346,2024-12-20,minor,I032,Mediterranean,35,chain,McHenry,559,0,,,57546
R0347,2024-09-19,minor,I039,Cafe,95,independent,Lake,147,0,,,42766
R0348,2024-12-29,pass,I084,Asian,8,chain,DuPage,380,0,,minor signage issue noted on previous visit,33785
R0349,2024-12-11,minor,I069,Mediterranean,86,independent,Peoria,233,0,,routine check; nothing unusual reported,69096
R0350,2024-03-23,pass,I037,Mediterranean,63,independent,Cook,310,1,No,no complaints filed in past 90 days,44866
R0351,2024-12-11,minor,I072,Pizza,57,independent,Peoria,134,1,,,54382
R0352,2024-07-17,pass,I054,BBQ,110,independent,Cook,360,2,,,47187
R0353,2024-04-25,pass,I082,BBQ,61,independent,Lake,138,0,Yes,,67243
R0354,2024-07-12,pass,I006,Seafood,79,chain,Peoria,355,1,No,no complaints filed in past 90 days,74980
R0355,2024-03-20,pass,I006,Asian,102,chain,Winnebago,259,1,,manager certificate expired (renewing),92949
R0356,2024-04-04,pass,I067,Mexican,84,independent,Kendall,188,0,,,56020
R0357,2024-06-18,critical,I047,Mediterranean,71,chain,Peoria,659,1,,minor signage issue noted on previous visit,94661
R0358,2024-11-24,pass,I079,Pizza,62,independent,McHenry,129,0,,routine check; nothing unusual reported,88613
R0359,2024-01-13,pass,I067,BBQ,18,chain,Cook,345,0,,,58100
R0360,2024-10-02,pass,I069,American,73,independent,Lake,216,2,,,28733
R0361,2024-10-02,pass,I056,Mexican,59,chain,McHenry,261,0,Yes,manager certificate expired (renewing),69710
R0362,2024-04-26,pass,I034,Seafood,16,chain,Winnebago,233,0,,routine check; nothing unusual reported,44893
R0363,2024-11-24,pass,I080,Mexican,61,independent,McHenry,126,2,No,routine check; nothing unusual reported,47973
R0364,2024-07-14,pass,I051,American,42,chain,Kane,269,0,,routine check; nothing unusual reported,59513
R0365,2024-11-20,pass,I019,Mediterranean,25,chain,Cook,60,0,,,63579
R0366,2024-10-02,pass,I071,Mexican,62,chain,Lake,360,0,,,28000
R0367,2024-09-19,critical,I019,Asian,79,chain,Lake,593,0,,raw chicken stored above ready-to-eat foods,55290
R0368,2024-10-08,pass,I060,Cafe,55,independent,Will,300,0,,routine check; nothing unusual reported,47268
R0369,2024-07-01,pass,I017,Pizza,99,independent,McHenry,512,0,,no complaints filed in past 90 days,43768
R0370,2024-10-17,pass,I047,BBQ,14,chain,Kane,500,0,,,62502
R0371,2024-07-03,pass,I018,BBQ,88,chain,Will,225,0,Yes,no complaints filed in past 90 days,85733
R0372,2024-10-02,minor,I026,Mediterranean,8,independent,DuPage,637,0,,routine check; nothing unusual reported,35142
R0373,2024-10-29,pass,I028,American,18,chain,Kane,293,0,,no complaints filed in past 90 days,66960
R0374,2024-08-25,pass,I065,Cafe,8,independent,Kendall,347,0,,minor signage issue noted on previous visit,64423
R0375,2024-12-16,pass,I022,Cafe,73,independent,Winnebago,446,2,No,,63972
R0376,2024-12-08,minor,I027,Cafe,87,chain,Kendall,170,0,,,66588
R0377,2024-12-26,pass,I067,Mediterranean,73,independent,Kendall,243,1,,minor signage issue noted on previous visit,38147
R0378,2024-07-11,pass,I029,Cafe,8,chain,McHenry,432,1,,minor signage issue noted on previous visit,43540
R0379,2024-03-12,pass,I057,Asian,65,chain,Lake,579,0,Yes,,49935
R0380,2024-02-28,pass,I062,Bakery,29,chain,Lake,146,0,,,44849
R0381,2024-10-30,pass,I021,Asian,53,independent,Cook,327,0,,,39687
R0382,2024-11-22,pass,I003,Mediterranean,56,independent,Lake,60,2,No,,83676
R0383,2024-10-25,pass,I024,Cafe,54,chain,Winnebago,652,0,No,routine check; nothing unusual reported,54067
R0384,2024-09-15,pass,I088,Seafood,71,independent,Sangamon,533,0,Yes,routine check; nothing unusual reported,76224
R0385,2024-12-03,pass,I017,Cafe,94,chain,Peoria,60,0,,manager certificate expired (renewing),54476
R0386,2024-09-03,pass,I049,BBQ,24,independent,Kendall,501,0,,no complaints filed in past 90 days,80676
R0387,2024-10-05,critical,I053,Mediterranean,80,independent,Sangamon,627,0,,improper handwashing observed,51448
R0388,2024-07-28,pass,I047,Mexican,76,independent,Kendall,285,1,,,48288
R0389,2024-05-21,pass,I088,Seafood,61,chain,Kane,179,0,,manager certificate expired (renewing),61553
R0390,2024-12-27,pass,I051,Asian,89,independent,Lake,101,0,,,73230
R0391,2024-06-22,critical,I071,American,108,independent,DuPage,758,1,,routine check; nothing unusual reported,54362
R0392,2024-07-08,pass,I011,American,51,chain,Kendall,200,1,,routine check; nothing unusual reported,44478
R0393,2024-03-30,pass,I082,Bakery,38,chain,Lake,410,0,,,46106
R0394,2024-01-19,pass,I047,Pizza,57,independent,Kane,488,0,,no complaints filed in past 90 days,71174
R0395,2024-04-12,pass,I067,American,58,independent,Peoria,297,0,,manager certificate expired (renewing),79517
R0396,2024-05-21,minor,I029,Pizza,43,chain,Kendall,240,0,Yes,manager certificate expired (renewing),54238
R0397,2024-06-23,pass,I015,Cafe,128,chain,Winnebago,266,3,,routine check; nothing unusual reported,66633
R0398,2024-08-22,pass,I088,Bakery,8,independent,Winnebago,415,1,,no complaints filed in past 90 days,67490
R0399,2024-04-27,minor,I041,Seafood,100,independent,Will,305,0,No,routine check; nothing unusual reported,107226
R0400,2024-06-30,minor,I028,Mediterranean,97,independent,Lake,244,1,,minor signage issue noted on previous visit,62092
R0401,2024-04-13,pass,I032,BBQ,69,independent,Winnebago,436,0,,,55752
R0402,2024-11-13,pass,I041,Bakery,57,chain,Winnebago,490,0,,,96122
R0403,2024-03-06,minor,I007,Cafe,72,independent,Peoria,169,0,,manager certificate expired (renewing),65940
R0404,2024-09-22,pass,I059,BBQ,21,independent,Cook,284,0,,,42907
R0405,2024-04-05,pass,I071,Mediterranean,63,chain,McHenry,567,0,,manager certificate expired (renewing),29898
R0406,2024-07-24,pass,I036,Bakery,88,independent,Sangamon,525,0,No,manager certificate expired (renewing),83146
R0407,2024-10-11,critical,I056,Seafood,80,independent,Winnebago,669,1,No,no complaints filed in past 90 days,92892
R0408,2024-09-30,pass,I041,Bakery,115,chain,Will,149,0,,no complaints filed in past 90 days,51154
R0409,2024-05-10,minor,I061,Mexican,29,chain,McHenry,415,0,,,61786
R0410,2024-12-13,pass,I078,Pizza,66,independent,Will,199,0,,,87984
R0411,2024-07-14,pass,I079,Mediterranean,8,independent,McHenry,466,0,,manager certificate expired (renewing),28000
R0412,2024-06-24,pass,I030,BBQ,102,chain,Will,304,0,,,32920
R0413,2024-07-04,pass,I076,Cafe,95,independent,Cook,325,0,,routine check; nothing unusual reported,61624
R0414,2024-04-17,critical,I022,Seafood,117,independent,DuPage,705,0,No,thermometer missing in reach-in cooler,79630
R0415,2024-02-12,pass,I014,Mediterranean,49,chain,Will,313,0,,manager certificate expired (renewing),51283
R0416,2024-03-28,pass,I004,American,66,chain,McHenry,497,2,,,43404
R0417,2024-03-10,minor,I070,Asian,27,chain,Peoria,257,1,,,83202
R0418,2024-02-15,pass,I057,Mediterranean,38,chain,Kendall,355,0,,,80678
R0419,2024-06-25,pass,I037,Bakery,8,chain,Winnebago,304,0,,manager certificate expired (renewing),70804
R0420,2024-10-07,pass,I048,Pizza,14,chain,Peoria,239,1,,routine check; nothing unusual reported,68422
R0421,2024-04-22,pass,I034,Mexican,37,chain,Will,427,1,,no complaints filed in past 90 days,60324
R0422,2024-03-10,minor,I038,Mexican,82,chain,Sangamon,97,0,,routine check; nothing unusual reported,71989
R0423,2024-09-30,pass,I003,Asian,88,independent,Winnebago,339,1,,minor signage issue noted on previous visit,76995
R0424,2024-06-08,pass,I064,BBQ,93,chain,Cook,197,3,No,minor signage issue noted on previous visit,99101
R0425,2024-08-28,pass,I024,Pizza,81,chain,Cook,281,0,,routine check; nothing unusual reported,62246
R0426,2024-01-18,pass,I026,Bakery,120,independent,Peoria,303,0,,minor signage issue noted on previous visit,49004
R0427,2024-03-22,pass,I081,American,58,independent,Will,137,0,,,57398
R0428,2024-02-27,pass,I031,Seafood,68,chain,Cook,436,0,,,77354
R0429,2024-01-22,minor,I075,Bakery,52,independent,Lake,268,0,No,minor signage issue noted on previous visit,129968
R0430,2024-01-31,minor,I046,Asian,9,independent,Kane,208,0,,routine check; nothing unusual reported,63465
R0431,2024-08-12,pass,I025,American,47,independent,Will,207,2,,manager certificate expired (renewing),45015
R0432,2024-04-07,pass,I073,Asian,71,chain,McHenry,349,1,,minor signage issue noted on previous visit,44452
R0433,2024-02-05,pass,I068,Asian,8,chain,Winnebago,469,0,,,51783
R0434,2024-07-05,minor,I080,Pizza,75,chain,DuPage,242,0,,routine check; nothing unusual reported,39044
R0435,2024-10-09,pass,I020,Mediterranean,37,independent,DuPage,596,0,Yes,minor signage issue noted on previous visit,64404
R0436,2024-04-08,pass,I013,American,67,chain,Winnebago,88,0,,,56475
R0437,2024-02-06,pass,I002,Pizza,15,independent,Winnebago,60,1,No,,79106
R0438,2024-11-11,pass,I035,Cafe,8,independent,DuPage,401,0,,no complaints filed in past 90 days,54356
R0439,2024-04-28,pass,I069,Seafood,75,independent,Sangamon,569,0,No,manager certificate expired (renewing),61082
R0440,2024-12-11,pass,I059,Seafood,8,independent,Kane,424,0,,manager certificate expired (renewing),35182
R0441,2024-11-03,pass,I057,BBQ,96,chain,McHenry,234,0,,minor signage issue noted on previous visit,70954
R0442,2024-10-06,minor,I028,Seafood,32,chain,McHenry,555,0,,,56281
R0443,2024-11-01,critical,I003,Cafe,108,independent,Will,649,4,,thermometer missing in reach-in cooler,47007
R0444,2024-05-21,pass,I071,Cafe,115,independent,DuPage,529,0,,,66844
R0445,2024-04-29,pass,I033,Mediterranean,89,independent,DuPage,464,1,,routine check; nothing unusual reported,81150
R0446,2024-10-22,pass,I013,Mediterranean,117,independent,Sangamon,134,2,,,87939
R0447,2024-08-10,pass,I054,Mexican,77,independent,Kendall,270,0,,,50025
R0448,2024-12-23,critical,I029,Asian,100,independent,Kendall,660,0,No,food held at unsafe temperatures,55343
R0449,2024-07-20,pass,I019,Asian,39,independent,Peoria,540,0,No,manager certificate expired (renewing),63734
R0450,2024-10-13,pass,I026,Bakery,41,chain,Sangamon,447,1,,no complaints filed in past 90 days,90709
R0451,2024-08-08,pass,I042,Mexican,87,chain,McHenry,485,0,,no complaints filed in past 90 days,40889
R0452,2024-06-28,critical,I079,Bakery,10,independent,Winnebago,684,0,,thermometer missing in reach-in cooler,73303
R0453,2024-02-13,minor,I015,American,62,independent,Will,615,0,,no complaints filed in past 90 days,80413
R0454,2024-04-17,pass,I069,Pizza,84,independent,Peoria,227,0,,,59520
R0455,2024-12-23,pass,I086,American,8,independent,Will,638,0,,routine check; nothing unusual reported,69439
R0456,2024-12-01,minor,I002,Mexican,12,chain,Will,158,0,No,no complaints filed in past 90 days,28000
R0457,2024-11-28,pass,I050,Pizza,101,independent,McHenry,337,0,,minor signage issue noted on previous visit,74466
R0458,2024-10-14,pass,I003,American,72,independent,Peoria,294,1,No,minor signage issue noted on previous visit,86022
R0459,2024-06-03,pass,I031,Cafe,57,chain,Kendall,428,2,,,89515
R0460,2024-03-18,pass,I044,Seafood,68,independent,DuPage,337,1,,no complaints filed in past 90 days,35530
R0461,2024-08-01,minor,I031,Asian,32,chain,Winnebago,434,0,,,79697
R0462,2024-03-11,critical,I040,Cafe,93,independent,Kendall,855,0,,raw chicken stored above ready-to-eat foods,60373
R0463,2024-06-11,pass,I009,Cafe,8,independent,McHenry,305,1,Yes,manager certificate expired (renewing),66387
R0464,2024-07-29,pass,I039,Bakery,8,chain,Kane,380,0,,routine check; nothing unusual reported,51719
R0465,2024-05-16,pass,I078,Pizza,39,independent,McHenry,290,0,,,90331
R0466,2024-11-28,pass,I048,Asian,110,chain,Winnebago,258,0,,,64152
R0467,2024-05-18,pass,I053,Pizza,54,independent,DuPage,60,0,,minor signage issue noted on previous visit,33709
R0468,2024-08-22,pass,I032,Seafood,78,chain,Cook,103,1,,manager certificate expired (renewing),36259
R0469,2024-10-19,pass,I077,Cafe,8,independent,Peoria,306,0,,routine check; nothing unusual reported,94445
R0470,2024-10-02,minor,I051,American,10,chain,Peoria,408,0,,routine check; nothing unusual reported,28000
R0471,2024-05-26,pass,I060,Asian,17,independent,Peoria,481,2,,manager certificate expired (renewing),56181
R0472,2024-04-02,pass,I075,Cafe,47,independent,Kendall,196,0,,no complaints filed in past 90 days,74449
R0473,2024-04-13,critical,I059,Mexican,59,independent,DuPage,641,0,,improper handwashing observed,55815
R0474,2024-09-18,pass,I079,Asian,48,chain,Peoria,139,2,,manager certificate expired (renewing),87648
R0475,2024-03-17,pass,I021,Asian,83,chain,Will,621,0,,routine check; nothing unusual reported,32869
R0476,2024-03-08,minor,I026,American,76,chain,Cook,60,0,No,,73116
R0477,2024-10-28,pass,I085,Bakery,23,independent,Lake,420,2,,manager certificate expired (renewing),33850
R0478,2024-04-04,pass,I019,American,13,chain,Cook,393,0,,manager certificate expired (renewing),66471
R0479,2024-02-14,minor,I007,Mexican,40,chain,Sangamon,421,1,,,36590
R0480,2024-10-23,pass,I047,American,40,independent,Will,195,1,,minor signage issue noted on previous visit,104129
R0481,2024-02-03,pass,I038,Bakery,95,chain,McHenry,572,0,,manager certificate expired (renewing),51893
R0482,2024-11-18,critical,I068,Mexican,14,chain,Sangamon,847,0,,,35999
R0483,2024-09-26,pass,I074,BBQ,103,chain,Peoria,255,1,,no complaints filed in past 90 days,78259
R0484,2024-05-28,pass,I025,American,8,independent,Cook,60,1,,,70594
R0485,2024-07-31,pass,I053,American,37,independent,Cook,564,1,,no complaints filed in past 90 days,61771
R0486,2024-10-08,minor,I042,American,73,independent,McHenry,208,0,Yes,,91659
R0487,2024-06-22,pass,I087,Bakery,114,independent,Winnebago,203,0,,manager certificate expired (renewing),92999
R0488,2024-07-30,minor,I008,Cafe,8,chain,Sangamon,340,0,,manager certificate expired (renewing),43080
R0489,2024-06-30,pass,I009,Asian,58,chain,Peoria,409,1,,,39254
R0490,2024-06-06,critical,I041,American,90,chain,Kendall,680,0,,minor signage issue noted on previous visit,85365
R0491,2024-09-25,pass,I039,Asian,106,independent,DuPage,569,0,No,manager certificate expired (renewing),72524
R0492,2024-09-04,pass,I068,Mediterranean,48,chain,Kane,374,4,,manager certificate expired (renewing),52069
R0493,2024-04-15,minor,I005,Bakery,8,independent,Cook,598,0,Yes,,38937
R0494,2024-12-03,pass,I040,American,123,chain,Lake,314,0,,,74984
R0495,2024-03-01,pass,I035,Asian,69,independent,Lake,439,0,,,55048
R0496,2024-10-20,pass,I032,Asian,143,independent,Will,241,0,No,minor signage issue noted on previous visit,48932
R0497,2024-01-26,minor,I014,Seafood,94,independent,Sangamon,427,2,,no complaints filed in past 90 days,53217
R0498,2024-06-19,minor,I026,Cafe,24,independent,Winnebago,292,1,,routine check; nothing unusual reported,57985
R0499,2024-06-07,pass,I088,Bakery,8,independent,Sangamon,445,0,,,81971
R0500,2024-06-15,pass,I059,Bakery,131,independent,DuPage,199,0,No,no complaints filed in past 90 days,65160
